Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.920000032550888e-06 1.09e-06
GALEX:NUV 0.23119646641474512 8.21999992695055e-06 4.9740024e-06
SDSS:u 0.3519021246126397 2.5299999833805487e-05 3.651027e-06
SDSS:g 0.48199694202385934 6.601818081848747e-05 2.0273135e-06
SDSS:r 0.6246977662012919 0.00020668999786721542 4.2848574e-06
SDSS:i 0.7634912086792643 0.0002861999979359098 6.1644146e-06
SDSS:z 0.901794182408856 0.00032254544996910476 1.5198684e-05
2MASS:J 1.239016606050587 0.0003650000144261867 0.000100429075
2MASS:H 1.6494770729023385 0.0003929999948013574 0.0001886107
2MASS:Ks 2.163785333814508 0.0005329999839887023 0.00018559364
WISE:W1 3.3500107051067163 0.000772222236264497 5.836951e-05
WISE:W2 4.600019302768061 0.0013510000077076255 9.165151e-05
WISE:W3 11.559823320737255 0.006631249969359487 0.0005520869
WISE:W4 22.09066818952177 0.03167143011731761 0.0042107007
:=1.4GHz 214137.47000000003 0.04190000053495169 0.0017262676
"W1 (WISE)" 3.3533831991051453 0.000768 3.424280946417803e-05
"W2 (WISE)" 4.60510688172043 0.00128 5.617072191097423e-05
"W3 (WISE)" 11.574998378378377 0.006986666666666666 0.0004027977159816078
"W4 (WISE)" 22.0435630882353 0.029800000000000004 0.0024677722747449772
1.4GHz 214137.47 0.0443 0.0014
