Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.420000136131421e-05 1.3856406e-05
GALEX:NUV 0.23119646641474512 7.860000187065452e-05 7.794229e-06
SDSS:u 0.3519021246126397 0.00021742857227634107 1.0246951e-05
SDSS:g 0.48199694202385923 0.00023050000163493678 7.0000006e-06
SDSS:r 0.6246977662012919 0.0002604999899631366 1.1874342e-05
SDSS:i 0.7634912086792643 0.0002573333282877381 9.797959e-06
SDSS:z 0.9017941824088558 0.00042799999937415123 1.8e-05
2MASS:J 1.239016606050587 0.0003652727411297912 0.00018935153
2MASS:H 1.649477072902339 0.0005997272515246136 0.00032111522
2MASS:Ks 2.1637853338145083 0.0011688888383408387 0.00029999999
:=3.6um 3.599986286565157 0.0019600000232458115 4e-05
:=4.5um 4.499969349004068 0.002580000087618828 5e-05
WISE:W1 3.3500107051067163 0.001886000018566847 0.00012649111
WISE:W2 4.600019302768061 0.0027000000700354576 0.00015842979
WISE:W3 11.559823320737255 0.006556999823078513 0.00053329166
WISE:W4 22.09066818952177 0.017155556215180293 0.0028705401
:=1.4GHz 214137.47000000003 0.001550000044517219 0.00013
