Filter Wave Flux F_er
SDSS:u 0.3519021246126397 5.7399997785978485e-06 1.96e-06
SDSS:g 0.48199694202385923 1.8400000044493936e-05 9e-07
SDSS:r 0.6246977662012919 5.569999848376028e-05 1.3e-06
SDSS:i 0.7634912086792645 8.720000187167898e-05 1.9e-06
SDSS:z 0.9017941824088558 0.00014600000577047467 7e-06
WISE:W1 3.350010705106716 0.0003542499980540015 1.7578395e-05
WISE:W2 4.600019302768061 0.00036625000211643055 2.5337718e-05
WISE:W3 11.559823320737257 0.002570000011473894 0.00019697714
WISE:W4 22.090668189521768 0.00595666669930021 0.00123
:=1.4GHz 214137.47 0.054500000551342964 0.0017117243
