Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 4.7700000322947744e-06 9e-07
SDSS:u 0.3519021246126397 4.615714260580717e-06 2.6962753e-06
SDSS:g 0.48199694202385934 1.3149999934588171e-05 1.2247449e-06
SDSS:r 0.6246977662012919 2.7583332970001113e-05 1.9595918e-06
SDSS:i 0.7634912086792645 6.3116667054904e-05 4.2059482e-06
SDSS:z 0.9017941824088558 6.953333407485236e-05 8.331866e-06
2MASS:Ks 2.163785333814508 0.0004130000015720725 7.2e-05
WISE:W1 3.350010705106716 0.0003386249991308432 2.7784889e-05
WISE:W2 4.600019302768061 0.0005077499990875367 4.9030605e-05
WISE:W3 11.559823320737253 0.0018842856931899274 0.00029103266
WISE:W4 22.090668189521775 0.00842999986239842 0.002267157
:=1.4GHz 214137.47000000003 0.0032099999953061342 0.00015
"W1 (WISE)" 3.3533831991051453 0.00044533333333333333 2.1421717951648975e-05
"W2 (WISE)" 4.60510688172043 0.000539 4.7648819502690726e-05
"W3 (WISE)" 11.574998378378377 0.00196 0.00028936136576951664
"W4 (WISE)" 22.0435630882353 0.008239999999999999 0.002587005991489003
1.4GHz 214137.47 0.00415 0.0005352391988634614
