Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.000661000027321279 0.000108
2MASS:H 1.6494770729023387 0.0009480000007897615 0.000162
2MASS:Ks 2.163785333814508 0.0009519999730400741 0.00021242646
WISE:W1 3.350010705106716 0.0007452500140061602 0.0001819368
WISE:W2 4.600019302768061 0.0005232500116107985 2.5159492e-05
WISE:W3 11.559823320737257 0.001579999962511162 0.00015033297
WISE:W4 22.090668189521768 0.002133333357051015 0.0011128342
Spitzer/MIPS:24 23.674678828081813 0.0021200000774115324 0.00027
Herschel/SPIRE:250 249.99371080720482 0.05460000038146973 0.0022
Herschel/SPIRE:350 362.9976001356129 0.028300000354647636 0.0023
Herschel/SPIRE:500 516.9994274578785 0.014800000004470348 0.0029
"W1 (WISE)" 3.3533831991051453 0.0009403333333333333 0.0001296413606840039
"W2 (WISE)" 4.60510688172043 0.0006283333333333333 3.866031557036233e-05
"W3 (WISE)" 11.574998378378377 0.0017566666666666668 0.00023240912202407204
"W4 (WISE)" 22.0435630882353 0.00222 0.00067
"3.6 microns (IRAC)" 3.554855727092269 0.0007076666666666667 8.73593778595063e-05
"4.5 microns (IRAC)" 4.503678543789945 0.000535 6.451308239419349e-05
"5.8 microns (IRAC)" 5.732169369024856 0.00045699999999999994 5.713150881956471e-05
"8.0 microns (IRAC)" 7.882409380997561 0.0017233333333333334 0.0002015388051964187
"24 microns (MIPS)" 23.60570535433071 0.0020633333333333333 8.678398469763878e-05
"70 microns (MIPS)" 71.37915666666667 0.0357 0.0066
