Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.020000339252874e-05 6.4e-06
GALEX:NUV 0.23119646641474512 0.00017299999308306724 7e-06
SDSS:g' 0.48199694202385923 0.002739999908953905 8e-05
SDSS:r' 0.6246977662012919 0.007799999788403511 0.00027
2MASS:J 1.239016606050587 0.02660833423336347 0.0027239677
2MASS:H 1.6494770729023387 0.05066666627923647 0.004906119
2MASS:Ks 2.163785333814508 0.07988999858498573 0.0061220913
WISE:W1 3.3500107051067167 0.12763636220585217 0.009110434
WISE:W2 4.600019302768061 0.1820000003684651 0.009110434
WISE:W3 11.559823320737253 0.4463333355055915 0.017088007
WISE:W4 22.090668189521775 1.1761111285951402 0.056709785
IRAS:12 11.590213330240472 0.6230000257492065 0.044
IRAS:25 23.880234028994746 1.3799999952316284 0.08
IRAS:60 61.84986032885642 3.2300000190734863 0.16
IRAS:100 101.94941780588998 3.9000000953674316 0.35
Herschel/PACS:70 69.99917297095358 3.319999933242798 0.2404163
Herschel/PACS:160 160.0002444361424 2.559999942779541 0.15
Herschel/SPIRE:250 249.99371080720482 0.871999979019165 0.048
Herschel/SPIRE:350 362.9976001356129 0.33899998664855957 0.02
Herschel/SPIRE:500 516.9994274578785 0.12300000339746475 0.012
:=250um 249.99371080720482 0.871999979019165 0.048
:=350um 349.99995096608495 0.33899998664855957 0.02
:=500um 499.99576043629816 0.12300000339746475 0.012
"W1 (WISE)" 3.3533831991051453 0.12666666666666668 0.002744552786885324
"W2 (WISE)" 4.60510688172043 0.18166666666666664 0.0034460774802665133
"W3 (WISE)" 11.574998378378377 0.4706666666666666 0.00761412503180766
"W4 (WISE)" 22.0435630882353 1.1119999999999999 0.021009283662228945
"12 microns (IRAS)" 11.99169832 0.623 0.0436
"25 microns (IRAS)" 24.982704833333333 1.39 0.0374
"60 microns (IRAS)" 59.958491599999995 3.23 0.161
"100 microns (IRAS)" 99.93081933333333 3.91 0.351
"24 microns (MIPS)" 23.60570535433071 1.1925 0.0004389870613127453
