Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0028509999625384807 0.00051029405
2MASS:H 1.649477072902339 0.004208000004291534 0.00079630397
2MASS:Ks 2.1637853338145083 0.005704285909554788 0.0007204859
WISE:W1 3.350010705106716 0.008392499876208603 0.00058821763
WISE:W2 4.600019302768061 0.011351250039297156 0.00069346954
WISE:W3 11.559823320737253 0.03636666821936766 0.0014696938
WISE:W4 22.090668189521775 0.10000000149011612 0.0063245553
"W1 (WISE)" 3.3533831991051453 0.009439999999999999 0.00021310030502089854
"W2 (WISE)" 4.60510688172043 0.0129 0.0002697024471524127
"W3 (WISE)" 11.574998378378377 0.037866666666666667 0.0007308549787748593
"W4 (WISE)" 22.0435630882353 0.09473333333333334 0.003644036223749704
"25 microns (IRAS)" 24.982704833333333 0.162 0.0363
"60 microns (IRAS)" 59.958491599999995 0.357 0.0499
