Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0014400000218302011 5.656854e-05
GALEX:NUV 0.23119646641474512 0.0015400000265799463 2.828427e-05
SDSS:g' 0.48199694202385923 0.0035500000230968 0.00037
SDSS:r' 0.6246977662012919 0.004989999812096357 0.00049
SDSS:i' 0.7634912086792645 0.007269999943673611 0.00068
2MASS:J 1.239016606050587 0.006246363574808294 0.00092368823
2MASS:H 1.6494770729023385 0.009211818348955025 0.0016128236
2MASS:Ks 2.1637853338145083 0.01391250011511147 0.0013379088
WISE:W1 3.3500107051067167 0.03181111108925608 0.0020024984
WISE:W2 4.600019302768061 0.04191111069586542 0.0022715633
WISE:W3 11.559823320737255 0.07665714408670153 0.0029103265
WISE:W4 22.09066818952177 0.14728571474552155 0.007937253
"2-10 keV (XMM)" 0.00020675341931034483 3.5e-07 1.24e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.43e-06 6.29e-08
"W1 (WISE)" 3.3533831991051453 0.03136666666666667 0.0006993103745834177
"W2 (WISE)" 4.60510688172043 0.042 0.0008385928690371746
"W3 (WISE)" 11.574998378378377 0.08013333333333333 0.0013125734265175416
"W4 (WISE)" 22.0435630882353 0.139 0.003150303001300034
"25 microns (IRAS)" 24.982704833333333 0.13 0.0137
"60 microns (IRAS)" 59.958491599999995 0.158 0.0379
