Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.9349999749683775e-05 6.2289646e-06
GALEX:NUV 0.23119646641474512 2.2449999960372224e-05 3.88973e-06
SDSS:u' 0.3519021246126397 2.9400000130408444e-05 1.5e-06
SDSS:g' 0.48199694202385923 4.439999975147657e-05 7e-07
SDSS:r' 0.6246977662012919 9.329999738838524e-05 1e-06
SDSS:i' 0.7634912086792645 0.00015100000018719584 2e-06
SDSS:u 0.3519021246126397 2.1949999791104347e-05 7.071068e-07
SDSS:g 0.48199694202385934 3.735000063898042e-05 4.242641e-07
SDSS:r 0.6246977662012919 8.895000064512715e-05 4.242641e-07
SDSS:i 0.7634912086792645 0.00013499999477062374 1.4142136e-06
WISE:W1 3.350010705106716 0.00034114286453197043 2.6400758e-05
WISE:W2 4.600019302768061 0.0005104285623279534 4.463183e-05
WISE:W3 11.559823320737253 0.0012866666462893288 0.00032741413
WISE:W4 22.09066818952177 0.003551999945193529 0.0023313086
"W1 (WISE)" 3.3533831991051453 0.00038966666666666663 3.864725087247474e-05
"W2 (WISE)" 4.60510688172043 0.0005549999999999999 4.083503397819084e-05
"W3 (WISE)" 11.574998378378377 0.00132 0.00033926096150308833
"W4 (WISE)" 22.0435630882353 0.003706666666666667 0.002663174797117155
