Filter Wave Flux F_er
WISE:W1 3.350010705106716 5.115000021760352e-05 1.0688779e-05
WISE:W2 4.600019302768061 7.202500091807451e-05 2.2962142e-05
WISE:W3 11.559823320737257 0.0005640000066099068 0.00022063771
WISE:W4 22.090668189521768 0.0034333333217849336 0.0016709579
"W1 (WISE)" 3.3533831991051453 0.0006715666666666666 3.272189022657463e-05
"W2 (WISE)" 4.60510688172043 0.0004024333333333333 4.2316663384534465e-05
"W3 (WISE)" 11.574998378378377 0.0007806666666666668 0.0003507506236630236
"W4 (WISE)" 22.0435630882353 0.0037066666666666667 0.002184148346610184
"3.6 microns (IRAC)" 3.5520433412322276 6.183333333333334e-05 6.037118021042823e-06
"4.5 microns (IRAC)" 4.494639550224888 9.516666666666667e-05 9.078141219434736e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00016366666666666667 1.7576327830351823e-05
"8.0 microns (IRAC)" 7.868568451443569 0.00035166666666666663 3.569000420285769e-05
"24 microns (MIPS)" 23.60570535433071 0.0016700000000000003 0.00016687648126683402
