Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 8.449999768345151e-06 5.0474646e-06
WISE:W1 3.3500107051067163 0.00011940000113099813 1.1575838e-05
WISE:W2 4.600019302768061 0.0001345999975455925 2.0024985e-05
WISE:W3 11.559823320737257 0.00033366667533603805 0.00018415482
"W1 (WISE)" 3.3533831991051453 0.00010566666666666667 2.525058613181088e-05
"W2 (WISE)" 4.60510688172043 0.00011966666666666667 4.375221251548315e-05
"W3 (WISE)" 11.574998378378377 0.000381 0.000123
"3.6 microns (IRAC)" 3.5520433412322276 0.000196 8.920201791439474e-07
"4.5 microns (IRAC)" 4.494639550224888 0.0002235 1.2774040081352493e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00027 3.834501271351986e-06
"8.0 microns (IRAC)" 7.86856845144357 0.00029549999999999997 6.422001245717724e-06
"24 microns (MIPS)" 23.60570535433071 0.0007830000000000001 1.1842246408515573e-05
