Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0031900000758469105 0.00012
SDSS:r' 0.6246977662012919 0.003060000017285347 0.00017
SDSS:i' 0.7634912086792645 0.005280000157654285 0.00024
SDSS:u 0.3519021246126397 0.0030799999367445707 4e-05
SDSS:g 0.48199694202385923 0.003010000102221966 4e-05
SDSS:r 0.6246977662012919 0.002899999963119626 3e-05
SDSS:i 0.7634912086792645 0.004879999905824661 6e-05
SDSS:z 0.9017941824088558 0.0038499999791383743 6e-05
2MASS:J 1.239016606050587 0.005160000175237656 0.00053814496
2MASS:H 1.649477072902339 0.0074800001457333565 0.00085082307
2MASS:Ks 2.1637853338145083 0.012600000016391277 0.00081853534
WISE:W1 3.3500107051067163 0.02438888864384757 0.001469694
WISE:W2 4.600019302768061 0.03319999948143959 0.0017233689
WISE:W3 11.559823320737255 0.07232500240206718 0.0031112698
WISE:W4 22.09066818952177 0.16500000655651093 0.010583007
:=1.4GHz 214137.47000000003 0.00706666661426425 0.001224745
"W1 (WISE)" 3.3533831991051453 0.023966666666666667 0.0005259781364277417
"W2 (WISE)" 4.60510688172043 0.032733333333333337 0.0006625684870260583
"W3 (WISE)" 11.574998378378377 0.07583333333333332 0.0013063950397946252
"W4 (WISE)" 22.0435630882353 0.15600000000000003 0.004899979591794235
"12 microns (IRAS)" 11.99169832 0.0836 0.0209
"25 microns (IRAS)" 24.982704833333333 0.167 0.0109
"60 microns (IRAS)" 59.958491599999995 0.223 0.0356
1.4GHz 214137.47 0.0057 0.0005
