Filter Wave Flux F_er
WISE:W1 3.350010705106716 0.0009817143103906087 5.8034475e-05
WISE:W2 4.600019302768061 0.0012362500128801912 8.3666e-05
WISE:W3 11.559823320737253 0.002706666632244984 0.0004741308
WISE:W4 22.09066818952177 0.004421999957412481 0.0029426857
Herschel/SPIRE:250 249.99371080720482 0.024299999698996544 0.004525483
Herschel/SPIRE:350 362.9976001356129 0.02759999968111515 0.004525483
Herschel/SPIRE:500 516.9994274578785 0.026900000870227814 0.0038
"W1 (WISE)" 3.3533831991051453 0.000967 4.206958521307288e-05
"W2 (WISE)" 4.60510688172043 0.0012 9.118026102178037e-05
"W3 (WISE)" 11.574998378378377 0.0027866666666666665 0.0005169419696639073
"W4 (WISE)" 22.0435630882353 0.004436666666666666 0.002451815653755396
