Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00029099998937454075 1.8384777e-05
GALEX:NUV 0.23119646641474512 0.0004625000001396984 1.5556348e-05
SDSS:u' 0.3519021246126397 0.000999833316503403 2.2439572e-05
SDSS:g' 0.4819969420238593 0.0023781999243510654 9.06069e-05
SDSS:r' 0.6246977662012919 0.003937733300820885 9.229106e-05
SDSS:i' 0.7634912086792645 0.0021781499544886174 0.00023006106
SDSS:z' 0.9017941824088558 0.006320200007394305 0.00010045023
SDSS:u 0.3519021246126397 0.0011950799962505698 5.5758406e-05
SDSS:g 0.4819969420238593 0.001028433356320117 1.1232097e-05
SDSS:r 0.6246977662012919 0.00316390001704089 2.5173797e-05
SDSS:i 0.7634912086792643 0.0036562001369020436 1.5683112e-05
SDSS:z 0.901794182408856 0.0031245999646974574 2.302173e-05
2MASS:J 1.239016606050587 0.004507142834232322 0.0007211102
2MASS:H 1.6494770729023387 0.005792857081230197 0.001290155
2MASS:Ks 2.1637853338145083 0.0036200000239270075 0.0009927739
WISE:W1 3.350010705106716 0.004223999939858914 0.00019052559
WISE:W2 4.600019302768061 0.0029679999686777593 0.00012041594
WISE:W3 11.559823320737253 0.01899999938905239 0.0007071068
WISE:W4 22.090668189521775 0.041600000113248825 0.0030066592
IRAS:12 11.59021333024047 0.06970000267028809 0.0153
IRAS:25 23.88023402899474 0.20399999618530273 0.045
IRAS:60 61.84986032885642 0.47999998927116394 0.062
IRAS:100 101.94941780588996 1.7799999713897705 0.39
"W1 (WISE)" 3.3533831991051453 0.006013333333333333 0.00011341697403828053
"W2 (WISE)" 4.60510688172043 0.004173333333333334 8.017337463272955e-05
"W3 (WISE)" 11.574998378378377 0.026533333333333336 0.0005432283129587412
"W4 (WISE)" 22.0435630882353 0.0462 0.002753633962602873
"60 microns (IRAS)" 59.958491599999995 0.48 0.0624
