Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00010599999950500205 9.899495e-06
GALEX:NUV 0.23119646641474512 0.00012849999620812014 7.810249e-06
SDSS:u 0.3519021246126397 0.0013654999784193933 1.2206556e-05
SDSS:g 0.48199694202385923 0.004665000014938414 1.4142135e-05
SDSS:r 0.6246977662012919 0.008150000125169754 2e-05
SDSS:z 0.9017941824088558 0.020099999383091927 0.0001
2MASS:J 1.239016606050587 0.011017999984323979 0.0012808981
2MASS:H 1.649477072902339 0.01509999968111515 0.0017691806
2MASS:Ks 2.1637853338145083 0.01411250012461096 0.001421267
WISE:W1 3.350010705106716 0.011920000053942203 0.00051961525
WISE:W2 4.600019302768061 0.007901666530718407 0.0003160696
WISE:W3 11.559823320737253 0.01769999973475933 0.0007071068
WISE:W4 22.090668189521775 0.04975000023841858 0.0039115213
:=1.4GHz 214137.47000000006 0.003599999938160181 0.0006
"W1 (WISE)" 3.3533831991051453 0.012766666666666667 0.0002615816698471053
"W2 (WISE)" 4.60510688172043 0.00877 0.00016909624478385083
"W3 (WISE)" 11.574998378378377 0.0192 0.0005386510930091945
"W4 (WISE)" 22.0435630882353 0.04730000000000001 0.0029378393421016064
"25 microns (IRAS)" 24.982704833333333 0.168 0.041
"60 microns (IRAS)" 59.958491599999995 0.303 0.0455
