Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.000666000007186085 0.00012975746
2MASS:H 1.6494770729023387 0.0007730000070296228 0.00024041631
2MASS:Ks 2.163785333814508 0.0006779999821446836 0.00018616121
WISE:W1 3.350010705106716 0.002122857142239809 0.00012884098
WISE:W2 4.600019302768061 0.0033987499482464045 0.00018601074
WISE:W3 11.559823320737253 0.010079999720411641 0.0005219195
WISE:W4 22.09066818952177 0.031419999152421954 0.002640076
:=350um 349.99995096608495 0.5360000133514404 0.152
:=1.4GHz 214137.47 1.1799999475479126 0.04
"W1 (WISE)" 3.3533831991051453 0.0020900000000000003 5.3285176174992606e-05
"W2 (WISE)" 4.60510688172043 0.003413333333333333 7.944696344102775e-05
"W3 (WISE)" 11.574998378378377 0.010586666666666666 0.0003009352089736261
"W4 (WISE)" 22.0435630882353 0.029666666666666664 0.002006749610688887
1.4GHz 214137.47 1.18 0.0407
