Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 5.370000144466758e-05 7.5e-06
GALEX:NUV 0.23119646641474512 0.0001449999981559813 5e-06
SDSS:g' 0.48199694202385923 0.0013099999632686377 3e-05
SDSS:r' 0.6246977662012919 0.0023399998899549246 0.0002
SDSS:i' 0.7634912086792645 0.003710000077262521 0.00055
SDSS:u 0.3519021246126397 0.00018150000323657878 7.4484897e-06
SDSS:g 0.4819969420238593 0.0004970333199404801 1.0120276e-05
SDSS:r 0.6246977662012919 0.0014589999700547196 0.000110462664
SDSS:i 0.7634912086792645 0.0023267499600478914 0.00064031867
SDSS:z 0.9017941824088558 0.00231733339993904 2.1213204e-05
2MASS:J 1.239016606050587 0.004219000018201769 0.0007714921
2MASS:H 1.649477072902339 0.005749000143259764 0.0011395613
2MASS:Ks 2.1637853338145083 0.006197777576744556 0.0010830051
WISE:W1 3.350010705106716 0.007768000103533268 0.00035171013
WISE:W2 4.600019302768061 0.009399999864399433 0.00037868193
WISE:W3 11.559823320737253 0.07520000264048576 0.0021023797
WISE:W4 22.090668189521775 0.36550000309944153 0.014
IRAS:12 11.590213330240472 0.14100000262260437 0.028
IRAS:25 23.880234028994746 0.534500002861023 0.10530907
IRAS:60 61.849860328856415 2.6299999952316284 0.27294686
IRAS:100 101.94941780588996 3.759999990463257 0.39824617
:=1.4GHz 214137.47 0.022066667055090267 0.0015652475
"W1 (WISE)" 3.3533831991051453 0.008023333333333334 0.00018951329768646843
"W2 (WISE)" 4.60510688172043 0.00963 0.00021118281180058191
"W3 (WISE)" 11.574998378378377 0.07886666666666667 0.0012681600845319177
"W4 (WISE)" 22.0435630882353 0.34733333333333327 0.007792547722022625
"12 microns (IRAS)" 11.99169832 0.141 0.0282
"25 microns (IRAS)" 24.982704833333333 0.536 0.0239
"60 microns (IRAS)" 59.958491599999995 2.58 0.129
"100 microns (IRAS)" 99.93081933333333 3.61 0.253
1.4GHz 214137.47 0.0229 0.0008
