Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00011100000119768083 1.5556348e-05
GALEX:NUV 0.23119646641474512 0.00019500000053085387 1.2727923e-05
2MASS:J 1.239016606050587 0.0013000000035390258 0.00015165751
2MASS:H 1.6494770729023387 0.0021200000774115324 0.00021166011
2MASS:Ks 2.1637853338145083 0.00419999985024333 0.00024494898
WISE:W1 3.350010705106716 0.009612499852664769 0.00052411825
WISE:W2 4.600019302768061 0.016028571873903275 0.00074161985
WISE:W3 11.559823320737253 0.03460000082850456 0.001224745
WISE:W4 22.09066818952177 0.0780200019478798 0.0041231057
IRAS:12 11.59021333024047 0.08079999685287476 0.017
IRAS:25 23.880234028994742 0.11599999666213989 0.015
IRAS:60 61.84986032885642 0.16599999368190765 0.03
IRAS:100 101.94941780588996 0.7250000238418579 0.13
:=1.4GHz 214137.47000000003 0.001069999998435378 0.00014
"12 microns (IRAS)" 11.99169832 0.0808 0.017
"25 microns (IRAS)" 24.982704833333333 0.116 0.0105
"60 microns (IRAS)" 59.958491599999995 0.166 0.0298
1.4GHz 214137.47 0.00105 0.000145
