Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0007939999923110008 0.00016901479
2MASS:H 1.6494770729023385 0.0009961666849752266 0.0001886107
2MASS:Ks 2.163785333814508 0.001930000027641654 0.00026832815
WISE:W1 3.3500107051067163 0.003160999994724989 0.0002022375
WISE:W2 4.600019302768061 0.004476000089198351 0.00025651514
WISE:W3 11.559823320737255 0.010084999608807266 0.0005656854
WISE:W4 22.090668189521775 0.024185714178851674 0.0026457517
"W1 (WISE)" 3.3533831991051453 0.00325 7.47766006181078e-05
"W2 (WISE)" 4.60510688172043 0.004496666666666666 0.00010103435059424096
"W3 (WISE)" 11.574998378378377 0.0105 0.00037319967845645313
"W4 (WISE)" 22.0435630882353 0.022133333333333335 0.0025330021713374034
