Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 9.524999768473208e-06 3.7620473e-06
GALEX:NUV 0.23119646641474512 1.204999989568023e-05 3.6069378e-06
SDSS:u 0.3519021246126397 1.5499999790336005e-05 1.3e-06
SDSS:g 0.48199694202385923 2.4499999199179e-05 5e-07
SDSS:r 0.6246977662012919 3.4199998481199145e-05 9e-07
SDSS:i 0.7634912086792645 8.649999654153362e-05 1.6e-06
SDSS:z 0.9017941824088558 7.79999973019585e-05 4.3e-06
WISE:W1 3.3500107051067163 0.00039560000295750796 2.0736441e-05
WISE:W2 4.600019302768061 0.0007914000074379146 3.897435e-05
WISE:W3 11.559823320737255 0.0032075000344775617 0.00022649503
WISE:W4 22.09066818952177 0.014425000175833702 0.0015524174
:=1.4GHz 214137.47000000003 0.0010300000139977783 0.00016690117
"W1 (WISE)" 3.3533831991051453 0.00044366666666666664 2.129530464679949e-05
"W2 (WISE)" 4.60510688172043 0.0007906666666666666 4.557433488269467e-05
"W3 (WISE)" 11.574998378378377 0.0033966666666666663 0.00021099763031844692
"W4 (WISE)" 22.0435630882353 0.013866666666666666 0.0014646699286870062
"3.6 microns (IRAC)" 3.5520433412322276 0.0004325 9.95056279815368e-07
"4.5 microns (IRAC)" 4.494639550224888 0.0007295 1.8245547402037572e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0012000000000000001 4.081788823542933e-06
"8.0 microns (IRAC)" 7.86856845144357 0.002025 5.85170915203413e-06
"24 microns (MIPS)" 23.60570535433071 0.0132 4.206292904684599e-05
1.4GHz 214137.47 0.00132 0.000118
