Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00021833333206207803 9.273618e-06
GALEX:NUV 0.23119646641474512 0.00032833332079462707 1.0392305e-05
SDSS:u' 0.3519021246126397 0.0009190000128000975 1.8384777e-05
SDSS:g' 0.48199694202385923 0.0017780000537944336 4.2426407e-05
SDSS:r' 0.6246977662012919 0.0030033333459869027 0.00010099504
SDSS:i' 0.7634912086792645 0.0040199999542286 0.00021047564
SDSS:z' 0.9017941824088558 0.005799999926239252 4.2426407e-05
SDSS:u 0.3519021246126397 0.0006690000067465007 1.746425e-05
SDSS:g 0.48199694202385934 0.0009159999957773834 1.0488088e-05
SDSS:r 0.6246977662012919 0.0019749999773921445 1.431782e-05
SDSS:i 0.7634912086792643 0.0038971998961642384 2.0099751e-05
SDSS:z 0.901794182408856 0.0036849999596597627 5.59017e-05
2MASS:J 1.239016606050587 0.0022312499640975147 0.0003836665
2MASS:H 1.6494770729023387 0.0030424999131355435 0.00056142674
2MASS:Ks 2.1637853338145083 0.003109999932348728 0.000498999
WISE:W1 3.3500107051067163 0.00474257131905428 0.00027769766
WISE:W2 4.600019302768061 0.005559714274048539 0.00030010665
WISE:W3 11.559823320737253 0.016700000688433646 0.0006708204
WISE:W4 22.090668189521775 0.03710000030696392 0.0034234484
"W1 (WISE)" 3.3533831991051453 0.006370000000000001 0.00013360782162732837
"W2 (WISE)" 4.60510688172043 0.007056666666666667 0.00014528826518339324
"W3 (WISE)" 11.574998378378377 0.019266666666666668 0.0005455437654304189
"W4 (WISE)" 22.0435630882353 0.03593333333333333 0.003071644510681534
