Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.3170000329409959e-05 6.4352234e-06
GALEX:NUV 0.23119646641474514 2.0575000689859735e-05 5.9059294e-06
SDSS:u 0.3519021246126396 8.144000203174074e-05 5.4497705e-06
SDSS:g 0.48199694202385934 9.185555649714338e-05 4.5486263e-06
SDSS:r 0.6246977662012919 9.665555505004401e-05 4.011234e-06
SDSS:i 0.7634912086792643 9.958888727447225e-05 5.0378567e-06
SDSS:z 0.901794182408856 0.0001625555548040817 1.2688577e-05
:=3.6um 3.599986286565157 0.0003440000000409782 1e-05
:=4.5um 4.499969349004068 0.0004309999931138009 1.6e-05
WISE:W1 3.350010705106716 0.0003073444353908093 3.0980802e-05
WISE:W2 4.600019302768061 0.00040275555390204926 5.174563e-05
WISE:W3 11.559823320737255 0.0006168571500373739 0.00036248035
