Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 9.094999768421985e-06 3.1834732e-06
GALEX:NUV 0.23119646641474512 2.9000000722589903e-05 4.01995e-06
SDSS:u' 0.3519021246126397 5.6799999583745375e-05 2.3e-06
SDSS:g' 0.48199694202385923 7.699999696342275e-05 9e-07
SDSS:r' 0.6246977662012919 0.00011100000119768083 1e-06
SDSS:i' 0.7634912086792645 0.00013899999612476677 2e-06
SDSS:z' 0.9017941824088558 0.00018600000475998968 7e-06
SDSS:u 0.3519021246126397 4.998333254964867e-05 5.234501e-06
SDSS:g 0.4819969420238593 6.615999882342294e-05 2.7294689e-06
SDSS:r 0.6246977662012919 8.678000012878329e-05 4.609772e-06
SDSS:i 0.7634912086792643 0.00010439999896334484 4.472136e-06
SDSS:z 0.9017941824088558 0.00013860000181011855 1.118034e-05
2MASS:J 1.239016606050587 0.00023299999884329736 0.00013163585
2MASS:H 1.649477072902339 0.00045249999675434083 6.500769e-05
2MASS:Ks 2.1637853338145083 0.0004419999895617366 0.000195
WISE:W1 3.3500107051067167 0.000662083334949178 5.017968e-05
WISE:W2 4.600019302768061 0.0008002499913952003 7.384443e-05
WISE:W3 11.559823320737255 0.0021433332779755196 0.00047339202
WISE:W4 22.09066818952177 0.006061249994672835 0.0028165402
Herschel/SPIRE:250 249.99371080720482 0.03240000084042549 0.0033
"W1 (WISE)" 3.3533831991051453 0.000721 3.679361357627163e-05
"W2 (WISE)" 4.60510688172043 0.0007859999999999999 7.009029890077513e-05
"W3 (WISE)" 11.574998378378377 0.00246 0.00040323194317910875
"W4 (WISE)" 22.0435630882353 0.005526666666666667 0.002497738977555501
"24 microns (MIPS)" 23.60570535433071 0.00538 0.00025037971163814377
