Filter Wave Flux F_er
SDSS:u 0.3519021246126397 8.119749713841884e-05 1.5422386e-06
SDSS:g 0.4819969420238593 1.6399999367422424e-05 2.828427e-07
SDSS:r 0.6246977662012919 0.00011674999980944752 3.1606962e-06
SDSS:i 0.7634912086792643 0.0002361249989917269 3.4525353e-06
2MASS:J 1.239016606050587 0.00032699998700991273 0.00011905882
2MASS:H 1.6494770729023385 0.0005619999719783664 0.00021959736
2MASS:Ks 2.163785333814508 0.0007350000087171793 0.00023811765
WISE:W1 3.350010705106716 0.0012257142724203213 7.937254e-05
WISE:W2 4.600019302768061 0.0016875000001164153 0.00010630146
WISE:W3 11.559823320737253 0.004515714477747679 0.00038249185
WISE:W4 22.090668189521775 0.011966666827599207 0.0021260292
:=250um 249.99371080720482 0.03539999946951866 0.020081833
"W1 (WISE)" 3.3533831991051453 0.00132 3.654654566439898e-05
"W2 (WISE)" 4.60510688172043 0.0017366666666666667 6.649248077790451e-05
"W3 (WISE)" 11.574998378378377 0.004889999999999999 0.0003558791929854849
"W4 (WISE)" 22.0435630882353 0.012500000000000002 0.001771217095671787
