Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 0.00020799999765586108 1.9e-05
SDSS:g' 0.48199694202385923 0.0002300000051036477 8e-06
SDSS:r' 0.6246977662012919 0.0003209999995306134 6e-06
SDSS:i' 0.7634912086792646 0.000371000001905486 6e-06
SDSS:z' 0.9017941824088558 0.00046099998871795833 1e-05
SDSS:u 0.35190212461263964 0.0002209999984188471 1.2206556e-05
SDSS:g 0.4819969420238592 0.0002423333385700567 1.0535653e-05
SDSS:r 0.6246977662012919 0.00033855555617871386 1.13137085e-05
SDSS:i 0.7634912086792645 0.00042063637043942106 1.5231547e-05
SDSS:z 0.9017941824088561 0.000469555551212074 2.186321e-05
2MASS:J 1.239016606050587 0.000514000013936311 0.00018151585
2MASS:H 1.649477072902339 0.0006549999816343188 0.00024211362
2MASS:Ks 2.1637853338145083 0.0007929999846965075 0.000309
:=3.6um 3.599986286565157 0.0011899999808520079 3e-05
:=4.5um 4.499969349004068 0.0013899999903514981 3e-05
WISE:W1 3.3500107051067167 0.0011853846148229563 0.00010816654
WISE:W2 4.600019302768061 0.001466428569983691 0.00011789826
WISE:W3 11.559823320737253 0.002706666709855199 0.0004140048
WISE:W4 22.090668189521775 0.007028181867843325 0.00277386
:=1.4GHz 214137.47000000003 0.0024399999529123306 0.00014
"W1 (WISE)" 3.3533831991051453 0.0012466666666666668 3.536947836765479e-05
"W2 (WISE)" 4.60510688172043 0.0014766666666666667 5.685824478472757e-05
"W3 (WISE)" 11.574998378378377 0.0028566666666666666 0.00034764493380459326
"W4 (WISE)" 22.0435630882353 0.006873333333333333 0.0021115160430363773
