Filter Wave Flux F_er
SDSS:u 0.3519021246126397 0.00017600000137463212 5e-06
SDSS:g 0.4819969420238593 0.0006579999753739685 3.6055512e-06
SDSS:r 0.6246977662012919 0.0009599999757483602 4e-06
SDSS:i 0.7634912086792643 0.0014349999837577343 1.4142135e-05
SDSS:z 0.9017941824088558 0.0017050000024028122 1.4142135e-05
2MASS:J 1.239016606050587 0.0010999999940395355 0.00021166011
2MASS:H 1.6494770729023387 0.0012700000079348683 0.00026457512
2MASS:Ks 2.1637853338145083 0.0014199999859556556 0.0002204541
WISE:W1 3.350010705106716 0.0018485714681446552 0.0001
WISE:W2 4.600019302768061 0.0033687499235384166 0.00017291616
WISE:W3 11.559823320737253 0.03298333349327246 0.001224745
WISE:W4 22.09066818952177 0.20240000486373902 0.008944273
"W1 (WISE)" 3.3533831991051453 0.00197 5.082774832707033e-05
"W2 (WISE)" 4.60510688172043 0.0034999999999999996 9.033288437772813e-05
"W3 (WISE)" 11.574998378378377 0.0351 0.0006688654573230704
"W4 (WISE)" 22.0435630882353 0.18966666666666665 0.004774777481726242
"60 microns (IRAS)" 59.958491599999995 0.848 0.204
1.4GHz 214137.47 0.0049 0.0005
