Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 8.949999937613029e-05 1.28790525e-05
GALEX:NUV 0.23119646641474512 0.00017799999841372482 1.118034e-05
SDSS:g' 0.48199694202385923 0.0010100000072270632 6e-05
SDSS:r' 0.6246977662012919 0.0017300000181421638 5e-05
SDSS:i' 0.7634912086792645 0.0019399999873712659 0.00031
SDSS:u 0.3519021246126397 0.00045450001198332757 5.0990193e-06
SDSS:i 0.7634912086792643 0.002409999957308173 1e-05
SDSS:z 0.9017941824088558 0.003019999945536256 1e-05
2MASS:J 1.239016606050587 0.001730000056947271 0.0004093898
2MASS:H 1.6494770729023387 0.002045555557641718 0.0005628499
2MASS:Ks 2.1637853338145083 0.001990000018849969 0.00036742346
WISE:W1 3.350010705106716 0.003251428549577083 0.0001596872
WISE:W2 4.600019302768061 0.0029299999587237835 0.0001360147
WISE:W3 11.559823320737255 0.013000000268220901 0.0006708204
WISE:W4 22.09066818952177 0.025339999794960023 0.0023280894
"W1 (WISE)" 3.3533831991051453 0.00155 4.2615255484391975e-05
"W2 (WISE)" 4.60510688172043 0.0013033333333333332 4.797468082228375e-05
"W3 (WISE)" 11.574998378378377 0.010666666666666666 0.00031547583108694716
"W4 (WISE)" 22.0435630882353 0.042166666666666665 0.0023660938273872404
"60 microns (IRAS)" 59.958491599999995 0.466 0.042
