Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.1599999854515772e-05 5.8e-06
GALEX:NUV 0.23119646641474512 6.994999785092659e-05 7.856844e-06
SDSS:u' 0.3519021246126397 5.569999848376028e-05 3.6e-06
SDSS:g' 0.48199694202385923 0.00017899999511428177 2e-06
SDSS:r' 0.6246977662012919 0.0003819999983534217 4e-06
SDSS:i' 0.7634912086792645 0.0006050000083632767 6e-06
SDSS:z' 0.9017941824088558 0.000661000027321279 1.2e-05
SDSS:u 0.3519021246126397 0.000387999985832721 4e-06
SDSS:g 0.48199694202385923 0.0015399999683722854 1e-05
SDSS:r 0.6246977662012919 0.0024800000246614218 1e-05
SDSS:i 0.7634912086792645 0.002859999891370535 1e-05
SDSS:z 0.9017941824088558 0.0030300000216811895 1e-05
2MASS:J 1.239016606050587 0.002568599954247475 0.00022884273
2MASS:H 1.6494770729023385 0.0023545999196358026 0.00029632583
2MASS:Ks 2.1637853338145083 0.0013386666735944648 0.0002923149
WISE:W1 3.3500107051067163 0.0014137499820208177 6.934695e-05
WISE:W2 4.600019302768061 0.0009018333366839215 5.2678268e-05
WISE:W3 11.559823320737257 0.005320000151793162 0.000179722
WISE:W4 22.090668189521768 0.013333333656191826 0.0011090536
:=1.4GHz 214137.47000000003 0.005530000043412049 0.00045276925
"60 microns (IRAS)" 59.958491599999995 0.144 0.023
1.4GHz 214137.47 0.0062 0.0005
