Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.013799999840557575 0.0020639768
GALEX:NUV 0.23119646641474512 0.024399999529123306 0.0010488088
SDSS:g' 0.48199694202385923 0.016499999910593033 0.001
SDSS:r' 0.6246977662012919 0.04100000113248825 0.0015
SDSS:i' 0.7634912086792645 0.06679999828338623 0.0013
SDSS:u 0.3519021246126397 0.21226667116085687 0.01475161
SDSS:g 0.48199694202385923 0.36650000512599945 0.012206555
SDSS:r 0.6246977662012919 0.7596666614214579 0.02613427
SDSS:i 0.7634912086792646 1.1333333651224773 0.046904158
SDSS:z 0.9017941824088558 1.4549999833106995 0.06403124
2MASS:H 1.6494770729023387 1.594133272767067 0.1085954
2MASS:Ks 2.1637853338145083 0.691000006472071 0.09061666
:=3.6um 3.599986286565157 1.1399999856948853 0.04
:=4.5um 4.499969349004068 0.7480000257492065 0.023
:=5.8um 5.800039815817985 0.7269999980926514 0.031
:=8um 8.00001222180712 2.140000104904175 0.07
WISE:W1 3.350010705106716 0.3026399970054626 0.030252604
WISE:W2 4.600019302768061 0.17732000350952148 0.02607681
WISE:W3 11.559823320737255 0.8169000061849753 0.11705665
WISE:W4 22.09066818952177 1.0407142894608634 0.19037227
Spitzer/MIPS:24 23.674678828081813 2.2200000286102295 0.09
Spitzer/MIPS:70 71.41996807699637 28.299999237060547 2.8
Spitzer/MIPS:160 155.8983140925637 98.4000015258789 11.8
Herschel/PACS:100 100.00081990726842 76.0 9.1
Herschel/PACS:160 160.0002444361424 97.0 11.6
Herschel/SPIRE:250 249.99371080720482 60.400001525878906 4.2
Herschel/SPIRE:350 362.9976001356129 24.600000381469727 1.7
Herschel/SPIRE:500 516.9994274578785 9.0600004196167 0.64
:=250um 249.99371080720482 57.10000038146973 3.5846896
:=350um 349.99995096608495 24.200000762939453 0.6
:=500um 499.99576043629816 8.449999809265137 0.7306162
:=1.4GHz 214137.47000000003 0.1396550050121732 0.012729933
"u (SDSS) AB" 0.3556256915776987 0.0887 0.00302
"g (SDSS) AB" 0.48275758132045093 0.36 0.00663
"r (SDSS) AB" 0.6258715198329854 0.711 0.0131
"z (SDSS) AB" 0.9084619939393939 1.35 0.0387
"W1 (WISE)" 3.3533831991051453 0.14049999999999999 0.0027175356483402384
"W2 (WISE)" 4.60510688172043 0.07723333333333333 0.0012545939582191523
"W3 (WISE)" 11.574998378378377 0.0833 0.0014925816560577181
"W4 (WISE)" 22.0435630882353 0.1258 0.004348942400170414
"3.6 microns (IRAC)" 3.5520433412322276 0.109 0.01
"4.5 microns (IRAC)" 4.494639550224888 0.0646 0.00655
"5.8 microns (IRAC)" 5.732169369024856 0.0493 0.00635
"8.0 microns (IRAC)" 7.86856845144357 0.104 0.0105
"12 microns (IRAS)" 11.99169832 1.8133333333333332 0.09206823556471581
"25 microns (IRAS)" 24.982704833333333 2.4033333333333338 0.1509602596712128
"60 microns (IRAS)" 59.958491599999995 17.0 2.1932909063779022
"100 microns (IRAS)" 99.93081933333333 60.46666666666667 4.375747479002873
"100 microns (PACS)" 102.31824505119454 74.1 5.57
"160 microns (PACS)" 165.63119226519336 105.0 5.82
