Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0002519999979995191 3.4641016e-05
2MASS:H 1.6494770729023385 0.00037799999699927866 5.3693573e-05
2MASS:Ks 2.163785333814508 0.0006070000235922635 6.754998e-05
:=3.6um 3.599986286565157 0.0009369999752379954 4.1012194e-05
:=4.5um 4.499969349004068 0.001120000029914081 5.656854e-05
:=5.8um 5.800039815817985 0.0013699999544769526 5.656854e-05
:=8um 8.00001222180712 0.0020600000862032175 8.4852814e-05
WISE:W1 3.3500107051067163 0.000998999981675297 4.0360872e-05
WISE:W2 4.600019302768061 0.0013099999923724681 4.472136e-05
WISE:W3 11.559823320737257 0.0029149999609217048 0.00015264338
WISE:W4 22.090668189521768 0.007089999970048666 0.00072138757
Spitzer/MIPS:24 23.674678828081813 0.0075599998235702515 2e-05
Herschel/SPIRE:250 249.99371080720482 0.04390000179409981 0.0039
"W1 (WISE)" 3.3533831991051453 0.003706666666666667 0.00017444517763469416
"W2 (WISE)" 4.60510688172043 0.00239 0.00014421393830001315
"W3 (WISE)" 11.574998378378377 0.0035533333333333337 0.00018236545725547917
"W4 (WISE)" 22.0435630882353 0.007216666666666666 0.0010287715975861697
"3.6 microns (IRAC)" 3.5520433412322276 0.000953 4.5272911326752556e-05
"4.5 microns (IRAC)" 4.494639550224888 0.00116 4.9993999639956795e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00133 1.2780708118097368e-05
"8.0 microns (IRAC)" 7.86856845144357 0.0021149999999999997 1.4654094990820825e-05
"24 microns (MIPS)" 23.60570535433071 0.007690000000000001 0.00010572766903701225
