Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0001226666645379737 3.522783e-05
GALEX:NUV 0.23119646641474512 0.0001853333330169941 1.9646883e-05
SDSS:u' 0.3519021246126397 0.0005839999939780682 1.3453624e-05
SDSS:g' 0.48199694202385923 0.0008319999906234443 8.7e-05
SDSS:r' 0.6246977662012919 0.002470000006724149 0.00020024984
SDSS:i' 0.7634912086792646 0.0036700001219287515 0.00031016127
SDSS:z' 0.9017941824088558 0.005300000077113509 5.8309517e-05
SDSS:u 0.3519021246126397 0.0005019999807700515 7e-06
SDSS:r 0.6246977662012919 0.00279000005684793 1e-05
SDSS:i 0.7634912086792645 0.00406000018119812 1e-05
SDSS:z 0.9017941824088558 0.005119999870657921 1e-05
2MASS:J 1.239016606050587 0.0025887500087264925 0.0004769696
2MASS:H 1.6494770729023387 0.0030662499484606087 0.000695054
2MASS:Ks 2.1637853338145083 0.00269333323619018 0.00055045437
WISE:W1 3.350010705106716 0.003329999977722764 0.0001403567
WISE:W2 4.600019302768061 0.002614000020548701 0.00011090536
WISE:W3 11.559823320737255 0.013399999588727951 0.00050990196
WISE:W4 22.09066818952177 0.028300000354647636 0.0023194829
:=1.4GHz 214137.47000000003 0.0014749999972991645 0.00021213204
"W1 (WISE)" 3.3533831991051453 0.003763333333333334 8.987641514880309e-05
"W2 (WISE)" 4.60510688172043 0.002916666666666667 6.456818101820742e-05
"W3 (WISE)" 11.574998378378377 0.015533333333333335 0.00040942154315570643
"W4 (WISE)" 22.0435630882353 0.028499999999999998 0.0018135809879903351
1.4GHz 214137.47 0.0013 0.000147
