Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 0.0006990000256337225 9e-06
SDSS:g' 0.48199694202385923 0.002739999908953905 0.00041012192
SDSS:r' 0.6246977662012919 0.0052900000009685755 0.000510098
SDSS:i' 0.7634912086792645 0.00750000006519258 0.0011701708
SDSS:u 0.3519021246126397 0.0005590000073425472 9e-06
SDSS:g 0.48199694202385923 0.0030499999411404133 1e-05
SDSS:r 0.6246977662012919 0.0063299997709691525 1e-05
SDSS:i 0.7634912086792645 0.009060000069439411 2e-05
2MASS:J 1.239016606050587 0.004823750059586018 0.0006191123
2MASS:H 1.6494770729023387 0.0064062499441206455 0.0010028958
2MASS:Ks 2.1637853338145083 0.004509999882429838 0.0005556078
WISE:W1 3.350010705106716 0.004968333446110289 0.00024041631
WISE:W2 4.600019302768061 0.00431799991056323 0.0001603122
WISE:W3 11.559823320737255 0.007530000060796738 0.00030265492
WISE:W4 22.09066818952177 0.012600000016391277 0.0013038404
"W1 (WISE)" 3.3533831991051453 0.00707 0.00013866524438373157
"W2 (WISE)" 4.60510688172043 0.005063333333333333 9.561119181351104e-05
"W3 (WISE)" 11.574998378378377 0.011183333333333332 0.0002747034764978412
"W4 (WISE)" 22.0435630882353 0.014333333333333332 0.0011691954498714062
