Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0005800000217277557 1.9104973e-05
GALEX:NUV 0.23119646641474512 0.0007369999948423356 1.6278822e-05
SDSS:g' 0.48199694202385923 0.0011899999808520079 2e-05
SDSS:r' 0.6246977662012919 0.0018500000005587935 7e-05
SDSS:i' 0.7634912086792645 0.002739999908953905 0.00033
2MASS:J 1.239016606050587 0.0022119999979622663 0.00047434165
2MASS:H 1.649477072902339 0.0030430001206696033 0.00069354166
2MASS:Ks 2.1637853338145083 0.00343999988399446 0.00052915025
WISE:W1 3.3500107051067167 0.004973499989137054 0.0003473111
WISE:W2 4.600019302768061 0.005988099949900061 0.00039771094
WISE:W3 11.559823320737253 0.020500000566244125 0.0009433981
WISE:W4 22.090668189521775 0.0431999996304512 0.0046818797
"W1 (WISE)" 3.3533831991051453 0.0077733333333333335 0.00015101513169215856
"W2 (WISE)" 4.60510688172043 0.008733333333333334 0.00018154924951648794
"W3 (WISE)" 11.574998378378377 0.024266666666666662 0.0006435534165863779
"W4 (WISE)" 22.0435630882353 0.043666666666666666 0.003204699673916419
