Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.912499995654798e-06 4.8259403e-06
GALEX:NUV 0.23119646641474512 1.1950000043725595e-05 3.848701e-06
WISE:W1 3.350010705106716 0.0003807499997492414 2.8583212e-05
WISE:W2 4.600019302768061 0.0005606249978882261 5.9607046e-05
WISE:W3 11.559823320737253 0.004033333466698726 0.00048187134
WISE:W4 22.09066818952177 0.015619999542832375 0.0030430248
"W1 (WISE)" 3.3533831991051453 0.000391 3.618107239980595e-05
"W2 (WISE)" 4.60510688172043 0.0005273333333333333 8.526505732127318e-05
"W3 (WISE)" 11.574998378378377 0.00434 0.00055981604121354
"W4 (WISE)" 22.0435630882353 0.0147 0.004158004329002076
