Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.0887499292475695e-05 1.0899913e-05
GALEX:NUV 0.23119646641474512 2.23724996430974e-05 4.477957e-06
SDSS:u 0.3519021246126397 3.510000169626437e-05 1.4e-06
SDSS:g 0.48199694202385934 5.450000026030466e-05 8e-07
SDSS:r 0.6246977662012919 0.00013699999544769526 1e-06
SDSS:i 0.7634912086792645 0.0002209999947808683 2e-06
SDSS:z 0.9017941824088558 0.0002739999908953905 7e-06
2MASS:J 1.239016606050587 0.00033400001120753586 0.00012445079
2MASS:H 1.6494770729023387 0.00041199999395757914 0.00016122035
2MASS:Ks 2.1637853338145083 0.0005039999959990382 0.00024041631
WISE:W1 3.350010705106716 0.00043916666860847425 2.886174e-05
WISE:W2 4.600019302768061 0.00042499999593322474 3.8105118e-05
WISE:W3 11.559823320737255 0.0005754000158049166 0.00028532438
WISE:W4 22.09066818952177 0.0025400000158697367 0.0018809572
"W1 (WISE)" 3.3533831991051453 0.000495 2.45246814454337e-05
"W2 (WISE)" 4.60510688172043 0.000436 5.889176512892104e-05
"W3 (WISE)" 11.574998378378377 0.0007413333333333333 0.00046167737653040784
"W4 (WISE)" 22.0435630882353 0.00283 0.000956
