Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.000173999993421603 2.2627417e-05
GALEX:NUV 0.23119646641474512 0.0002660000027390197 1.6278822e-05
SDSS:u' 0.3519021246126397 0.0012566666894902785 1.7320508e-05
SDSS:g' 0.4819969420238593 0.003953333323200543 0.00011090536
SDSS:r' 0.6246977662012919 0.005856666558732589 0.00021047564
SDSS:i' 0.7634912086792645 0.007199999876320362 0.00072
SDSS:u 0.3519021246126397 0.0007630000036442652 1.2806248e-05
SDSS:g 0.48199694202385923 0.002749000064795837 1.9723082e-05
SDSS:r 0.6246977662012919 0.0039054999651852995 1.2806248e-05
SDSS:i 0.7634912086792646 0.0013500000350177288 2e-05
SDSS:z 0.9017941824088558 0.0015699999639764428 1e-05
2MASS:J 1.239016606050587 0.005183999985456466 0.0010061809
2MASS:H 1.649477072902339 0.00704599991440773 0.0013612862
2MASS:Ks 2.1637853338145083 0.006786249985452741 0.00095315266
WISE:W1 3.3500107051067163 0.010078571337674345 0.0004609772
WISE:W2 4.600019302768061 0.016399999681328024 0.0006855655
WISE:W3 11.559823320737255 0.08358333383997281 0.002613427
WISE:W4 22.090668189521775 0.3454000025987625 0.014035669
IRAS:12 11.59021333024047 0.06840000301599503 0.0212
IRAS:25 23.880234028994742 0.46399998664855957 0.032
IRAS:60 61.84986032885642 0.8090000152587891 0.073
IRAS:100 101.94941780588996 0.7960000038146973 0.143
Herschel/SPIRE:350 362.9976001356129 0.04729999974370003 0.0074
:=1.4GHz 214137.47 0.018699999898672104 0.0012369318
"W1 (WISE)" 3.3533831991051453 0.010799999999999999 0.0002403569220971179
"W2 (WISE)" 4.60510688172043 0.016866666666666665 0.0003351962111957711
"W3 (WISE)" 11.574998378378377 0.0919 0.0015230193695419635
"W4 (WISE)" 22.0435630882353 0.34833333333333333 0.00799941247842615
"12 microns (IRAS)" 11.99169832 0.0684 0.0212
"25 microns (IRAS)" 24.982704833333333 0.464 0.00479
"60 microns (IRAS)" 59.958491599999995 0.809 0.0728
"100 microns (IRAS)" 99.93081933333333 0.796 0.143
1.4GHz 214137.47 0.0194 0.0007
