Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0002789999998640269 1.9646883e-05
GALEX:NUV 0.23119646641474512 0.0003080000072562446 1.5588457e-05
SDSS:u' 0.3519021246126397 0.00041700000292621553 4e-06
SDSS:g' 0.48199694202385923 0.0008730000117793679 3e-06
SDSS:i' 0.7634912086792645 0.001879999996162951 1e-05
SDSS:z' 0.9017941824088558 0.0019600000232458115 1e-05
SDSS:u 0.3519021246126397 0.00039999998989515007 4e-06
SDSS:g 0.48199694202385934 0.0008689999813213944 3e-06
SDSS:i 0.7634912086792645 0.0018599999602884054 1e-05
SDSS:z 0.9017941824088558 0.0019499999471008778 1e-05
2MASS:J 1.239016606050587 0.0019441666275573273 0.00025690466
2MASS:H 1.6494770729023385 0.0024083333749634526 0.00033406587
2MASS:Ks 2.1637853338145083 0.003010000102221966 0.0003034798
WISE:W1 3.3500107051067163 0.0029361400389461777 0.0002091198
WISE:W2 4.600019302768061 0.004380833339786882 0.00024845352
WISE:W3 11.559823320737255 0.012860000133514404 0.000591608
WISE:W4 22.09066818952177 0.027779999747872354 0.0025139612
:=1.4GHz 214137.47000000003 0.016833333298563957 0.00117047
"W1 (WISE)" 3.3533831991051453 0.003766666666666667 9.078551646600904e-05
"W2 (WISE)" 4.60510688172043 0.004986666666666667 0.00011003385842548646
"W3 (WISE)" 11.574998378378377 0.013600000000000001 0.00039438813369572877
"W4 (WISE)" 22.0435630882353 0.026366666666666667 0.0022445712285423247
1.4GHz 214137.47 0.015300000000000001 0.0009970456358662826
