Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.00406000018119812 8e-05
SDSS:r' 0.6246977662012919 0.007960000075399876 0.00025
SDSS:i' 0.7634912086792645 0.011099999770522118 0.0005
SDSS:u 0.3519021246126397 0.0018400000408291817 1e-05
SDSS:g 0.48199694202385923 0.006060000043362379 1e-05
2MASS:J 1.239016606050587 0.009459091011773457 0.0017253696
2MASS:H 1.649477072902339 0.014253636144778946 0.0027142032
2MASS:Ks 2.163785333814508 0.01773299928754568 0.0019467922
WISE:W1 3.3500107051067163 0.03297142870724201 0.0017406895
WISE:W2 4.600019302768061 0.03901428622858865 0.0017262676
WISE:W3 11.559823320737253 0.11479999870061874 0.0044721365
WISE:W4 22.09066818952177 0.25316666066646576 0.012247449
Herschel/PACS:70 69.99917297095358 1.6799999475479126 0.12727922
Herschel/PACS:160 160.0002444361424 3.130000114440918 0.18
Herschel/SPIRE:250 249.99371080720482 1.0099999904632568 0.06
Herschel/SPIRE:350 362.9976001356129 0.45899999141693115 0.026
Herschel/SPIRE:500 516.9994274578785 0.16599999368190765 0.013
:=250um 249.99371080720482 1.0099999904632568 0.06
:=350um 349.99995096608495 0.45899999141693115 0.026
:=500um 499.99576043629816 0.16599999368190765 0.013
:=1.4GHz 214137.47000000003 0.0073533332130561275 0.0011267654
"3.6 microns (IRAC)" 3.5520433412322276 0.034 2.5260443384865595e-05
"5.8 microns (IRAC)" 5.732169369024856 0.051199999999999996 7.317103251970687e-05
"8.0 microns (IRAC)" 7.86856845144357 0.07365 5.5352055065733557e-05
"24 microns (MIPS)" 23.60570535433071 0.1995 0.00012475099198002394
