Filter Wave Flux F_er
SDSS:i' 0.7634912086792645 0.0038799999747425318 0.00019
SDSS:u 0.3519021246126397 0.0007919999770820141 8e-06
SDSS:g 0.48199694202385923 0.00267999991774559 1e-05
SDSS:r 0.6246977662012919 0.004240000154823065 1e-05
SDSS:i 0.7634912086792645 0.006730000022798777 1e-05
SDSS:z 0.9017941824088558 0.008919999934732914 2e-05
2MASS:J 1.239016606050587 0.006102222328384717 0.0006031584
2MASS:H 1.6494770729023387 0.010671111548112499 0.0009291394
2MASS:Ks 2.1637853338145083 0.01788750011473894 0.0011269428
WISE:W1 3.350010705106716 0.023760000616312026 0.0011180341
WISE:W2 4.600019302768061 0.03402000069618225 0.0014352701
WISE:W3 11.559823320737253 0.08684000223875046 0.0026832817
WISE:W4 22.090668189521775 0.27000001072883606 0.01
IRAS:25 23.880234028994746 0.3009999990463257 0.03
IRAS:60 61.84986032885643 0.3569999933242798 0.043
:=1.4GHz 214137.47000000003 0.34460000414401293 0.021993862
"W1 (WISE)" 3.3533831991051453 0.0242 0.0005292740311029817
"W2 (WISE)" 4.60510688172043 0.03403333333333333 0.0006738427116174812
"W3 (WISE)" 11.574998378378377 0.09086666666666667 0.0014832605974676198
"W4 (WISE)" 22.0435630882353 0.254 0.005839571902117483
"3.6 microns (IRAC)" 3.5520433412322276 0.024050000000000002 2.968265486778432e-06
"4.5 microns (IRAC)" 4.494639550224888 0.03295 3.828733472050516e-06
"5.8 microns (IRAC)" 5.732169369024856 0.03945 1.226442416096247e-05
"12 microns (IRAS)" 11.99169832 0.103 0.0246
"25 microns (IRAS)" 24.982704833333333 0.312 0.00718
"60 microns (IRAS)" 59.958491599999995 0.34 0.034
"24 microns (MIPS)" 23.60570535433071 0.2405 0.0002543953615929347
1.4GHz 214137.47 0.0409 0.0013
