Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.2550000064948108e-05 3.255764e-06
WISE:W1 3.350010705106716 0.00026644444005796686 2.281162e-05
WISE:W2 4.600019302768061 0.00026596666874765005 2.6316535e-05
WISE:W3 11.559823320737255 0.0016756000550230965 0.00016643316
WISE:W4 22.09066818952177 0.008430000161752105 0.0015695859
"W1 (WISE)" 3.3990074603174603 0.000376 1.04e-05
"W2 (WISE)" 4.5980438343558285 0.000238 1.01e-05
"W3 (WISE)" 11.99169832 0.000194 6.32e-05
"24 microns (MIPS)" 23.60570535433071 0.0075 0.0007
1.4GHz 214137.47 5.04 0.151
