Filter Wave Flux F_er
WISE:W1 3.350010705106716 4.625000019586878e-05 9.626526e-06
WISE:W2 4.600019302768061 5.4725000154576264e-05 1.8920888e-05
"2-10 keV (XMM)" 0.00020675341931034483 1.5299999999999999e-09 5.494843036884675e-10
"0.5-2 keV (XMM)" 0.0009926902582781457 9.39e-10 2.28e-10
"W1 (WISE)" 3.3533831991051453 3.965e-05 1.6564567606792516e-05
"W2 (WISE)" 4.60510688172043 4.96e-05 1.04e-05
"3.6 microns (IRAC)" 3.5520433412322276 5.236666666666667e-05 5.0446534073214586e-06
"4.5 microns (IRAC)" 4.494639550224888 5.8733333333333336e-05 6.085758539409858e-06
"5.8 microns (IRAC)" 5.732169369024856 8.863333333333334e-05 1.1504651233305597e-05
"8.0 microns (IRAC)" 7.868568451443569 0.00014066666666666665 1.5977274485969127e-05
"24 microns (MIPS)" 23.60570535433071 0.0005613333333333333 6.815218265030109e-05
