Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0003319999959785491 1.3e-05
GALEX:NUV 0.23119646641474512 0.0006399999838322401 1.2e-05
2MASS:J 1.239016606050587 0.0009549999958835542 0.000107373184
2MASS:H 1.6494770729023385 0.0012000000569969416 0.00019595918
2MASS:Ks 2.163785333814508 0.0010600000387057662 0.0002204541
WISE:W1 3.3500107051067163 0.0018874999950639904 0.00011401754
WISE:W2 4.600019302768061 0.002895555484832989 0.00017492856
WISE:W3 11.559823320737255 0.005540000158362091 0.00047434165
WISE:W4 22.090668189521775 0.01343333317587773 0.00286007
:=1.4GHz 214137.47 4.21999979019165 0.15
