Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 9.199999840348028e-05 1.5566631e-05
GALEX:NUV 0.23119646641474512 0.00012000000424450263 1.0630146e-05
2MASS:J 1.239016606050587 0.0008140000281855464 0.00015005666
2MASS:H 1.6494770729023387 0.0010900000343099236 0.00021166011
2MASS:Ks 2.1637853338145083 0.0011099999537691474 0.00019595918
WISE:W1 3.3500107051067163 0.0009262000094167888 4.179713e-05
WISE:W2 4.600019302768061 0.0008620000095106662 4.4249293e-05
WISE:W3 11.559823320737257 0.002686666635175546 0.0002368544
WISE:W4 22.090668189521768 0.0085333331177632 0.0017282072
"W1 (WISE)" 3.3533831991051453 0.0009906666666666666 3.725238247414519e-05
"W2 (WISE)" 4.60510688172043 0.0008276666666666667 6.451209188981551e-05
"W3 (WISE)" 11.574998378378377 0.0027533333333333333 0.0010883519651289284
"W4 (WISE)" 22.0435630882353 0.00798 0.004381711994186748
