Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 0.0004949999856762588 7e-06
SDSS:g' 0.48199694202385923 0.0008110000053420663 7.8e-05
SDSS:r' 0.6246977662012919 0.002475000044796616 0.00019026297
SDSS:i' 0.7634912086792645 0.005309999920427799 1e-05
SDSS:z' 0.9017941824088558 0.007069999817758799 3e-05
SDSS:u 0.3519021246126397 0.00035799999022856355 5e-06
SDSS:g 0.4819969420238593 0.0013599999947473407 1e-05
SDSS:r 0.6246977662012919 0.002859999891370535 1e-05
SDSS:i 0.7634912086792643 0.00535999983549118 1e-05
SDSS:z 0.9017941824088558 0.00686000008136034 2e-05
2MASS:J 1.239016606050587 0.0035827273016118192 0.0008045495
2MASS:H 1.6494770729023385 0.0060733335299624335 0.0013056799
2MASS:Ks 2.163785333814508 0.007029999978840351 0.00089218834
WISE:W1 3.350010705106716 0.008758999916608445 0.0004145853
WISE:W2 4.600019302768061 0.009987000026740134 0.00041252997
WISE:W3 11.559823320737255 0.025349999777972698 0.0008
WISE:W4 22.09066818952177 0.0786999985575676 0.0049254443
:=1.4GHz 214137.47000000003 0.01063333327571551 0.0011357818
"W1 (WISE)" 3.3533831991051453 0.012633333333333335 0.0002676453250105445
"W2 (WISE)" 4.60510688172043 0.012766666666666667 0.0002551979819669427
"W3 (WISE)" 11.574998378378377 0.028300000000000002 0.0006546892392578329
"W4 (WISE)" 22.0435630882353 0.07566666666666667 0.004550373611034593
1.4GHz 214137.47 0.0115 0.0006
