Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0002564999958849512 2e-05
GALEX:NUV 0.23119646641474512 0.0003169999981764704 1.421267e-05
SDSS:g' 0.48199694202385923 0.002369999885559082 0.00021
SDSS:r' 0.6246977662012919 0.0035600000992417336 6e-05
SDSS:i' 0.7634912086792645 0.005890000145882368 0.00027
2MASS:J 1.239016606050587 0.0033600000121320286 0.00057105167
2MASS:H 1.6494770729023385 0.004633333378781875 0.0008366601
2MASS:Ks 2.163785333814508 0.005429999902844429 0.0006216913
WISE:W1 3.350010705106716 0.016533333187301952 0.0006928203
WISE:W2 4.600019302768061 0.0173333336909612 0.00051961525
WISE:W3 11.559823320737255 0.02279999976356824 0.00081240386
WISE:W4 22.09066818952177 0.04656666641434034 0.003581899
