Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0014199999859556556 0.00019
SDSS:r' 0.6246977662012919 0.00571999978274107 3e-05
SDSS:i' 0.7634912086792645 0.010700000450015068 0.002
2MASS:J 1.239016606050587 0.03155714313366583 0.007898734
2MASS:H 1.649477072902339 0.04190909185192802 0.009186948
2MASS:Ks 2.1637853338145083 0.02759999968111515 0.004242641
WISE:W1 3.3500107051067163 0.042316666493813195 0.0020518284
WISE:W2 4.600019302768061 0.027533333748579025 0.0011357818
WISE:W3 11.559823320737255 0.034600000083446505 0.0011180341
WISE:W4 22.09066818952177 0.05641999915242195 0.003937004
:=1.4GHz 214137.47000000006 0.008249999955296516 0.0011661905
"W1 (WISE)" 3.3533831991051453 0.05193333333333333 0.001008829519790138
"W2 (WISE)" 4.60510688172043 0.03306666666666667 0.0005965031433278453
"W3 (WISE)" 11.574998378378377 0.043866666666666665 0.0027571659362468554
"W4 (WISE)" 22.0435630882353 0.06186666666666666 0.005070867775834823
"60 microns (IRAS)" 59.958491599999995 1.39 0.111
"100 microns (IRAS)" 99.93081933333333 5.95 0.595
1.4GHz 214137.47 0.0084 0.0013
