Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0025122222076687547 0.00049081567
2MASS:H 1.649477072902339 0.0041555555330382455 0.00078536617
2MASS:Ks 2.1637853338145083 0.007249999791383743 0.0006484597
WISE:W1 3.350010705106716 0.019150000376005966 0.0009165151
WISE:W2 4.600019302768061 0.025783333306511242 0.0011357818
WISE:W3 11.559823320737255 0.058375000953674316 0.0016
WISE:W4 22.09066818952177 0.1352500058710575 0.006
Herschel/PACS:70 69.99917297095358 0.12999999523162842 0.015556349
Herschel/PACS:160 160.0002444361424 0.3050000071525574 0.023
Herschel/SPIRE:250 249.99371080720482 0.4860000014305115 0.028
Herschel/SPIRE:350 362.9976001356129 0.6169999837875366 0.035
Herschel/SPIRE:500 516.9994274578785 0.7749999761581421 0.044
:=250um 249.99371080720482 0.4860000014305115 0.028
:=350um 349.99995096608495 0.6169999837875366 0.035
:=500um 499.99576043629816 0.7749999761581421 0.044
"0.5-2 keV (XMM)" 0.0009926902582781457 3.3924999999999994e-08 6.62e-09
"W1 (WISE)" 3.3533831991051453 0.019833333333333335 0.0004308004178270954
"W2 (WISE)" 4.60510688172043 0.0267 0.000534394049368067
"W3 (WISE)" 11.574998378378377 0.0613 0.0009987036597509794
"W4 (WISE)" 22.0435630882353 0.12666666666666668 0.0034443977702930885
"4.5 microns (IRAC)" 4.494639550224888 0.0363 5.387439094783346e-06
"12 microns (IRAS)" 11.99169832 0.109 0.0163
"25 microns (IRAS)" 24.982704833333333 0.16 0.024
"60 microns (IRAS)" 59.958491599999995 0.163 0.0244
"24 microns (MIPS)" 23.60570535433071 0.12666666666666668 8.494356950352393e-05
"70 microns (MIPS)" 71.37915666666667 0.171 0.005
"160 microns (MIPS)" 156.14190520833333 0.475 0.04
