Filter Wave Flux F_er
2MASS:Ks 2.1637853338145083 1.439700042737968e-06 1.0326548e-07
:=3.6um 3.599986286565157 8.946533313292093e-06 8.172007e-07
:=4.5um 4.499969349004068 7.157923120687953e-06 1.3717787e-06
:=5.8um 5.800039815817984 1.602120022425879e-05 5.2783384e-06
:=8um 8.000012221807122 2.503180061239618e-05 1.0742177e-05
WISE:W1 3.3500107051067163 5.203999899094924e-05 8.731552e-06
WISE:W2 4.600019302768061 9.743999980855733e-05 1.8520259e-05
WISE:W3 11.559823320737255 0.00022449999596574344 0.00021179472
WISE:W4 22.09066818952177 0.003252499911468476 0.0017450214
Spitzer/MIPS:24 23.674678828081813 0.0015012499934528023 0.00019723082
Spitzer/MIPS:70 71.41996807699637 0.006039999891072512 0.00079749606
Herschel/PACS:100 100.00081990726842 0.012500000031044086 0.00083666004
Herschel/PACS:160 160.00024443614237 0.02531666650126378 0.0021047564
Herschel/SPIRE:250 249.99371080720482 0.03397500002756715 0.003679674
Herschel/SPIRE:350 362.9976001356129 0.02625000011175871 0.0048383884
Herschel/SPIRE:500 516.9994274578785 0.02270000008866191 0.0050049974
:=1.4GHz 214137.47000000006 7.139999797800556e-05 8.854942e-06
:=20cm 199994.96864576385 7.860000187065452e-05 5.1e-06
