Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.2900000001536682e-06 1.4866069e-07
SDSS:g' 0.48199694202385923 4.120000085094944e-06 1.5415253e-06
SDSS:r' 0.6246977662012919 1.049999991664663e-05 2.4248711e-06
SDSS:i' 0.7634912086792646 3.2100000680657104e-05 3.8105115e-06
SDSS:z' 0.9017941824088558 5.6000000768108293e-05 1.3509997e-05
WISE:W1 3.3500107051067163 0.00037799999699927866 2.2090722e-05
WISE:W2 4.600019302768061 0.0008095999830402434 4.1340052e-05
WISE:W3 11.559823320737255 0.0023574999067932367 0.00021071307
WISE:W4 22.09066818952177 0.007815000019036233 0.0015790188
Spitzer/MIPS:24 23.674678828081813 0.005922000017017126 0.00057714817
Spitzer/MIPS:70 71.41996807699637 0.020800000056624413 0.0029732138
Herschel/PACS:100 100.00081990726842 0.03403333326180776 0.0024372113
Herschel/PACS:160 160.0002444361424 0.037633332113424935 0.005494543
Herschel/SPIRE:250 249.99371080720482 0.04880000092089176 0.0024839484
Herschel/SPIRE:350 362.9976001356129 0.03564999997615814 0.0029
Herschel/SPIRE:500 516.9994274578785 0.015449999831616879 0.0050931326
