Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 6.790000043110922e-05 6.8e-06
SDSS:i' 0.7634912086792645 0.005859999917447567 0.00035
2MASS:J 1.239016606050587 0.00468749989522621 0.0007504665
2MASS:H 1.649477072902339 0.006586249801330268 0.001239637
2MASS:Ks 2.1637853338145083 0.007910000160336494 0.0009524706
WISE:W1 3.350010705106716 0.019500000402331352 0.0009797959
WISE:W2 4.600019302768061 0.051649998873472214 0.0022045407
WISE:W3 11.559823320737255 0.18000000715255737 0.00489898
WISE:W4 22.09066818952177 1.0559999465942382 0.044721358
IRAS:12 11.590213330240472 0.2370000034570694 0.061846584
IRAS:25 23.88023402899474 1.3333333333333333 0.19131127
IRAS:60 61.8498603288564 5.339999993642171 0.47507894
IRAS:100 101.94941780588995 6.256666660308838 0.75193083
