Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00024300000222865492 2.2627417e-05
GALEX:NUV 0.23119646641474512 0.00033000000985339284 9.899495e-06
SDSS:u' 0.3519021246126397 0.0007409999961964786 7e-06
SDSS:g' 0.48199694202385923 0.0017300000181421638 3e-05
SDSS:r' 0.6246977662012919 0.0020200000144541264 5e-05
SDSS:i' 0.7634912086792645 0.0036700000055134296 5e-05
SDSS:z' 0.9017941824088558 0.0037700000684708357 3e-05
SDSS:u 0.3519021246126397 0.0004980000085197389 7.810249e-06
SDSS:g 0.48199694202385923 0.0007259999983943999 1.3e-05
SDSS:r 0.6246977662012919 0.0016414999845437706 1.2806248e-05
SDSS:i 0.7634912086792645 0.0027749998844228685 1.4142135e-05
SDSS:z 0.9017941824088558 0.0025400000158697367 2.236068e-05
2MASS:J 1.239016606050587 0.0031280000228434803 0.0003907685
2MASS:H 1.649477072902339 0.003535000002011657 0.0005347897
2MASS:Ks 2.1637853338145083 0.003785000037169084 0.0005246904
WISE:W1 3.3500107051067163 0.006663749983999878 0.00032619011
WISE:W2 4.600019302768061 0.010742857520069395 0.00049999997
WISE:W3 11.559823320737253 0.04024999961256981 0.001352775
WISE:W4 22.090668189521775 0.18040000200271605 0.008944273
IRAS:12 11.590213330240468 0.10499999672174454 0.027
IRAS:25 23.88023402899474 0.19099999964237213 0.03
IRAS:60 61.849860328856415 0.2619999945163727 0.039
IRAS:100 101.94941780588995 0.6050000190734863 0.157
:=1.4GHz 214137.47000000003 0.024839999713003637 0.001774824
"W1 (WISE)" 3.3533831991051453 0.006796666666666666 0.00014716269907826508
"W2 (WISE)" 4.60510688172043 0.010799999999999999 0.0002161693780349104
"W3 (WISE)" 11.574998378378377 0.042133333333333335 0.0007140798274702906
"W4 (WISE)" 22.0435630882353 0.16966666666666663 0.004369393550597154
"25 microns (IRAS)" 24.982704833333333 0.191 0.0169
"60 microns (IRAS)" 59.958491599999995 0.262 0.0394
1.4GHz 214137.47 0.0269 0.0009
