Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.005799999926239252 0.00012
SDSS:r' 0.6246977662012919 0.011800000444054604 0.0004
SDSS:i' 0.7634912086792645 0.017400000244379044 0.0012
2MASS:J 1.239016606050587 0.024699999950826168 0.00293428
2MASS:H 1.6494770729023385 0.03184999960164229 0.0048301136
2MASS:Ks 2.1637853338145083 0.01810000091791153 0.0031843367
WISE:W1 3.350010705106716 0.022633332759141922 0.00086602545
WISE:W2 4.600019302768061 0.014533333480358124 0.00051961525
WISE:W3 11.559823320737255 0.04916666696468989 0.0013856406
WISE:W4 22.09066818952177 0.07626666625340779 0.0049050995
