Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.012409999850206077 0.00044283178
SDSS:r' 0.6246977662012919 0.024510000133886933 0.00090824004
SDSS:i' 0.7634912086792645 0.0340999998152256 0.00070710684
SDSS:u 0.3519021246126397 0.00045349998981691897 2.86007e-05
SDSS:g 0.48199694202385923 0.009259999729692936 2e-05
SDSS:r 0.6246977662012919 0.030700000002980232 0.0001
SDSS:i 0.7634912086792645 0.04490000009536743 0.00014142135
SDSS:z 0.9017941824088558 0.04565000161528587 0.00014142135
2MASS:J 1.239016606050587 0.024022500030696392 0.0028061538
2MASS:H 1.649477072902339 0.02986249979585409 0.004501111
2MASS:Ks 2.1637853338145083 0.017985714599490166 0.002685982
WISE:W1 3.350010705106716 0.010003999900072813 0.0004925444
WISE:W2 4.600019302768061 0.00534999999217689 0.0002886174
WISE:W3 11.559823320737255 0.0040099999168887734 0.00053178944
WISE:W4 22.09066818952177 0.010624999878928065 0.0021071308
"W1 (WISE)" 3.3533831991051453 0.018333333333333333 0.0002865100521796748
"W2 (WISE)" 4.60510688172043 0.010006666666666667 0.00015919425240881028
"W3 (WISE)" 11.574998378378377 0.011713333333333334 0.00044409683628686213
"W4 (WISE)" 22.0435630882353 0.017133333333333334 0.002599903844375788
"60 microns (IRAS)" 59.958491599999995 0.317 0.0539
"100 microns (IRAS)" 99.93081933333333 1.52 0.198
1.4GHz 214137.47 0.0171 0.0029
