Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0018500000005587935 7.0710674e-05
GALEX:NUV 0.23119646641474512 0.0026499999221414328 5.656854e-05
SDSS:u' 0.3519021246126397 0.004294999875128269 5e-05
SDSS:g' 0.48199694202385923 0.004610000178217888 5e-05
SDSS:r' 0.6246977662012919 0.029199999757111073 0.00050990196
SDSS:i' 0.7634912086792646 0.03965000016614795 0.0058008623
SDSS:z' 0.9017941824088558 0.08810000121593475 0.0002
SDSS:u 0.3519021246126397 0.0030400000978261232 2e-05
SDSS:r 0.6246977662012919 0.04690000042319298 0.0001
SDSS:i 0.7634912086792645 0.06870000064373016 0.0001
SDSS:z 0.9017941824088558 0.09380000084638596 0.0002
2MASS:J 1.239016606050587 0.022907692509201858 0.0024351592
2MASS:H 1.6494770729023387 0.02337928581982851 0.0035636497
2MASS:Ks 2.1637853338145083 0.01736909074878151 0.0026851443
WISE:W1 3.350010705106716 0.01372000016272068 0.0006708204
WISE:W2 4.600019302768061 0.007656666683033109 0.00033555925
WISE:W3 11.559823320737253 0.007495999988168478 0.0005198077
WISE:W4 22.090668189521775 0.014679999835789204 0.0034146742
IRAS:60 61.84986032885642 0.7940000295639038 0.064
IRAS:100 101.94941780588996 2.809999942779541 0.28
"W1 (WISE)" 3.3533831991051453 0.021766666666666667 0.0003476708357052688
"W2 (WISE)" 4.60510688172043 0.012326666666666666 0.00020848501145166287
"W3 (WISE)" 11.574998378378377 0.025693333333333332 0.0005184467185738569
"W4 (WISE)" 22.0435630882353 0.041199999999999994 0.004188329022414548
"60 microns (IRAS)" 59.958491599999995 0.78 0.0546
"100 microns (IRAS)" 99.93081933333333 2.75 0.192
1.4GHz 214137.47 0.0151 0.0027
