Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.4500000765547156e-05 7.3341666e-06
GALEX:NUV 0.23119646641474512 4.646666760284764e-05 6.2936474e-06
SDSS:g 0.48199694202385923 0.0002899999963119626 2e-06
SDSS:r 0.6246977662012919 0.0006000000284984708 3e-06
SDSS:i 0.7634912086792645 0.0008779999916441739 4e-06
2MASS:J 1.239016606050587 0.0008280000183731318 0.00015345358
2MASS:H 1.6494770729023385 0.0011899999808520079 0.00023811765
2MASS:Ks 2.163785333814508 0.0011699999449774623 0.0002204541
WISE:W1 3.3500107051067163 0.001051599986385554 4.0199502e-05
WISE:W2 4.600019302768061 0.0009482000255957246 5.5551776e-05
WISE:W3 11.559823320737255 0.003334999899379909 0.0002828427
WISE:W4 22.09066818952177 0.008479999843984842 0.0018532673
Herschel/PACS:100 100.00081990726842 0.10400000214576721 0.044
Herschel/PACS:160 160.0002444361424 0.10999999940395355 0.045
Herschel/SPIRE:250 249.99371080720482 0.0617000013589859 0.0073
Herschel/SPIRE:350 362.9976001356129 0.02590000070631504 0.0083
Herschel/SPIRE:500 516.9994274578785 0.019600000232458115 0.0089
