Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.06999996205559e-05 2.1e-06
SDSS:u 0.3519021246126397 1.891111100525854e-05 4.232021e-06
SDSS:g 0.4819969420238593 3.4175000564573565e-05 2.2847319e-06
SDSS:r 0.6246977662012919 6.241249957383843e-05 3.5e-06
SDSS:i 0.7634912086792643 0.00011600000198086491 5.0990197e-06
SDSS:z 0.9017941824088558 9.412500094185816e-05 1.2112803e-05
2MASS:H 1.6494770729023385 0.00024199999461416155 0.000101049496
2MASS:Ks 2.163785333814508 0.00021749999723397195 8.2734514e-05
:=3.6um 3.599986286565157 0.0016299999551847577 4e-05
:=4.5um 4.499969349004068 0.003759999992325902 7e-05
WISE:W1 3.3500107051067167 0.0013911111099231574 8.717798e-05
WISE:W2 4.600019302768061 0.004269090904430909 0.00023958298
WISE:W3 11.559823320737255 0.03411250002682209 0.0014142137
WISE:W4 22.090668189521775 0.13628571799823216 0.007937253
:=1.4GHz 214137.47000000003 0.027299999569853146 0.0013490738
"W1 (WISE)" 3.3533831991051453 0.00144 4.08462972618082e-05
"W2 (WISE)" 4.60510688172043 0.004206666666666667 0.00010794989578503539
"W3 (WISE)" 11.574998378378377 0.03576666666666667 0.0007121699235435318
"W4 (WISE)" 22.0435630882353 0.12233333333333334 0.004268266627098172
1.4GHz 214137.47 0.0267 0.0009
