Filter Wave Flux F_er
GALEX:NUV 0.23119646641474514 1.629999951546779e-05 3.8e-06
SDSS:u 0.3519021246126397 5.686249960490386e-05 5.501818e-06
SDSS:g 0.4819969420238593 7.46999991991158e-05 3.983717e-06
SDSS:r 0.6246977662012919 7.488571385952778e-05 3.5623027e-06
SDSS:i 0.7634912086792643 9.007142840086349e-05 3.5284559e-06
SDSS:z 0.9017941824088558 8.811428623240707e-05 9.26121e-06
2MASS:H 1.6494770729023385 0.00028966667014174163 0.00012586502
2MASS:Ks 2.163785333814508 0.0002634999982547015 8.6977e-05
:=3.6um 3.599986286565157 0.00023400000645779073 8e-06
:=4.5um 4.499969349004068 0.00031999999191612005 1.3e-05
WISE:W1 3.3500107051067167 0.00022654545186510816 2.2891047e-05
WISE:W2 4.600019302768061 0.0003430000056554987 4.31509e-05
WISE:W3 11.559823320737255 0.0008119999911286868 0.00031133744
WISE:W4 22.090668189521775 0.002584285701492003 0.0021849028
"W1 (WISE)" 3.3533831991051453 0.0003363333333333333 1.7902337836159834e-05
"W2 (WISE)" 4.60510688172043 0.00037966666666666666 3.718292618931437e-05
"W3 (WISE)" 11.574998378378377 0.0008385 0.0003337019628351023
"W4 (WISE)" 22.0435630882353 0.00281 0.000951
