Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.22000006842427e-05 1.020196e-05
GALEX:NUV 0.23119646641474512 6.009999924572185e-05 8.100617e-06
SDSS:u 0.3519021246126397 8.919999891077168e-05 4.118252e-06
SDSS:g 0.48199694202385923 0.00011000000085914508 9.055385e-06
SDSS:r 0.6246977662012919 0.0001314999972237274 2.236068e-06
SDSS:i 0.7634912086792645 0.00018950000230688602 3.6055512e-06
SDSS:z 0.9017941824088558 0.00019149999570799991 8.485282e-06
2MASS:Ks 2.1637853338145083 0.000514000013936311 0.00021778888
:=3.6um 3.599986286565157 0.0003229999856557697 1e-05
:=4.5um 4.499969349004068 0.000391999987186864 1.4e-05
WISE:W1 3.350010705106716 0.0003189999952155631 2.4779023e-05
WISE:W2 4.600019302768061 0.0004093750067113433 4.156922e-05
WISE:W3 11.559823320737253 0.0009687142446637154 0.0002791451
WISE:W4 22.090668189521775 0.004673333372920752 0.0020823544
"W1 (WISE)" 3.3533831991051453 0.00038933333333333333 2.4552175056397754e-05
"W2 (WISE)" 4.60510688172043 0.0004426666666666667 3.6825398843732835e-05
"W3 (WISE)" 11.574998378378377 0.0009373333333333334 0.00033398652667435553
"W4 (WISE)" 22.0435630882353 0.0039366666666666664 0.002111194922312954
