Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.53750012133969e-05 1.655204e-05
GALEX:NUV 0.23119646641474514 9.345000034954865e-05 1.35524915e-05
SDSS:u 0.3519021246126397 0.00013216666169076538 9.797959e-06
SDSS:g 0.48199694202385923 0.00012960000021848827 6.708204e-06
SDSS:r 0.6246977662012919 0.00015220000059343875 6.708204e-06
SDSS:i 0.7634912086792645 0.00020199999853502958 6.708204e-06
SDSS:z 0.9017941824088558 0.00020959999819751828 1.3000001e-05
2MASS:J 1.239016606050587 0.0003220000071451068 8.626703e-05
2MASS:H 1.6494770729023385 0.00033099998836405575 8.9095454e-05
2MASS:Ks 2.163785333814508 0.0004079999926034361 7.8e-05
WISE:W1 3.3500107051067163 0.0006490999949164689 5.0842897e-05
WISE:W2 4.600019302768061 0.0008021999965421855 6.7616566e-05
WISE:W3 11.559823320737255 0.001756666667966379 0.00034698704
WISE:W4 22.09066818952177 0.005583749967627227 0.0023105626
