Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.000411000000895001 2.5553865e-05
GALEX:NUV 0.23119646641474512 0.00046200001088436693 1.7e-05
SDSS:g' 0.48199694202385923 0.001339999958872795 0.00017
SDSS:r' 0.6246977662012919 0.0019399999873712659 0.0002
SDSS:i' 0.7634912086792645 0.0028800000436604023 0.00029
2MASS:J 1.239016606050587 0.0021899999119341373 0.00019595918
2MASS:H 1.6494770729023387 0.0028899998869746923 0.00031843368
2MASS:Ks 2.1637853338145083 0.004879999905824661 0.00029
WISE:W1 3.350010705106716 0.007930000113057238 0.0003920459
WISE:W2 4.600019302768061 0.011266666309287151 0.00048989797
WISE:W3 11.559823320737253 0.027916666120290756 0.001224745
WISE:W4 22.09066818952177 0.08305999785661697 0.005280152
:=1.4GHz 214137.47000000006 0.23600000143051147 0.006
