Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.500000058110648e-05 7.839643e-06
GALEX:NUV 0.23119646641474512 1.833333377968908e-05 4.365776e-06
SDSS:u 0.3519021246126397 5.155000053491676e-05 6.101639e-06
SDSS:g 0.4819969420238593 0.00016444444150288796 3.8832977e-06
SDSS:r 0.6246977662012919 0.00038555555511265993 6.7823303e-06
SDSS:i 0.7634912086792643 0.0005782222255624624 8.246211e-06
SDSS:z 0.901794182408856 0.0006783000062569045 1.9570385e-05
2MASS:J 1.239016606050587 0.0006824999776047965 0.00015844557
2MASS:H 1.6494770729023385 0.0013333333772607148 0.000287054
2MASS:Ks 2.163785333814508 0.0023900000378489494 0.00024494898
:=3.6um 3.599986286565157 0.004519999958574772 1e-05
:=4.5um 4.499969349004068 0.00646999990567565 1e-05
WISE:W1 3.3500107051067163 0.004049999872222543 0.00013892444
WISE:W2 4.600019302768061 0.006467500003054738 0.00022538855
WISE:W3 11.559823320737255 0.015466666469971338 0.00051961525
WISE:W4 22.09066818952177 0.04889999950925509 0.0030066592
"W1 (WISE)" 3.3533831991051453 0.004236666666666666 9.612122554358116e-05
"W2 (WISE)" 4.60510688172043 0.006606666666666666 0.00014421664259023644
"W3 (WISE)" 11.574998378378377 0.0162 0.0005073943239729825
"W4 (WISE)" 22.0435630882353 0.04613333333333333 0.0028619748426567276
1.4GHz 214137.47 0.369 0.0111
