Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.259999983943999e-05 1.2700394e-05
GALEX:NUV 0.23119646641474512 9.454999963054433e-05 9.1923885e-06
SDSS:u 0.35190212461263964 6.56374995742226e-05 5.519964e-06
SDSS:g 0.48199694202385934 7.695714261249773e-05 4.4508424e-06
SDSS:r 0.6246977662012919 8.717142814670556e-05 4.002499e-06
SDSS:i 0.7634912086792643 9.322857035190932e-05 5.6071385e-06
SDSS:z 0.9017941824088559 0.00012871428667235056 1.2529964e-05
:=3.6um 3.599986286565157 0.0004199999966658652 1.2e-05
:=4.5um 4.499969349004068 0.0005489999894052744 1.7e-05
WISE:W1 3.3500107051067163 0.0004116999916732311 3.4799425e-05
WISE:W2 4.600019302768061 0.0005678000161424279 5.607138e-05
WISE:W3 11.559823320737255 0.0012950000236742198 0.0003757659
WISE:W4 22.090668189521775 0.002630000002682209 8e-05
