Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0018850000342354178 4.2426407e-05
GALEX:NUV 0.23119646641474512 0.0022149999858811498 2.828427e-05
SDSS:g' 0.48199694202385923 0.0029700000304728746 0.00022
SDSS:r' 0.6246977662012919 0.003719999920576811 0.00025
SDSS:i' 0.7634912086792645 0.0050200000405311584 0.00031
2MASS:J 1.239016606050587 0.004212500139450033 0.000954568
2MASS:H 1.6494770729023385 0.00525249990945061 0.0013796376
2MASS:Ks 2.163785333814508 0.006542999995872378 0.0015791453
WISE:W1 3.3500107051067163 0.010466666736950478 0.00045825756
WISE:W2 4.600019302768061 0.013233333515624205 0.00045825756
WISE:W3 11.559823320737253 0.04223333299160004 0.0013747727
WISE:W4 22.090668189521775 0.10940000116825103 0.0060827625
Spitzer/MIPS:70 71.41996807699637 0.18000000715255737 0.007
Spitzer/MIPS:160 155.8983140925637 0.2669999897480011 0.04
Herschel/PACS:70 69.99917297095358 0.17399999499320984 0.003
Herschel/PACS:100 100.00081990726842 0.24699999392032623 0.006
Herschel/PACS:160 160.0002444361424 0.23899999260902405 0.021
Herschel/SPIRE:250 249.99371080720482 0.125 0.01
Herschel/SPIRE:350 362.9976001356129 0.0471000000834465 0.0089
"0.5-2 keV (XMM)" 0.0009926902582781457 3.31e-08 9.93e-09
"W1 (WISE)" 3.3533831991051453 0.010566666666666667 0.0002460367655453144
"W2 (WISE)" 4.60510688172043 0.013033333333333333 0.0002643434319214306
"W3 (WISE)" 11.574998378378377 0.042666666666666665 0.0008534289659954132
"W4 (WISE)" 22.0435630882353 0.1043 0.003607131824594161
"60 microns (IRAS)" 59.958491599999995 0.163 0.05939696961967
"24 microns (MIPS)" 23.60570535433071 0.09625 0.00013241223508422476
