Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.009999884146964e-06 8.7e-07
GALEX:NUV 0.23119646641474512 2.343333335375064e-06 1.7202907e-06
SDSS:u' 0.3519021246126397 3.5099999422527617e-06 1.08e-06
SDSS:g' 0.48199694202385923 7.610000011482043e-06 4.2e-07
SDSS:r' 0.6246977662012919 2.5499999537714757e-05 7e-07
SDSS:i' 0.7634912086792645 2.5200000891345553e-05 1.2e-06
SDSS:z' 0.9017941824088558 4.289999924367294e-05 4e-06
SDSS:u 0.3519021246126397 4.380000063974876e-06 1.9090573e-06
SDSS:g 0.48199694202385923 9.545000011712546e-06 7.7466126e-07
SDSS:r 0.6246977662012919 3.1149999813351315e-05 1.2041594e-06
SDSS:i 0.7634912086792645 3.0250000236264896e-05 1.9104973e-06
SDSS:z 0.9017941824088558 4.70000013592653e-05 6.060528e-06
WISE:W1 3.3500107051067163 0.0001670000026933849 1.4317821e-05
WISE:W2 4.600019302768061 0.00040480000316165385 3.1096624e-05
WISE:W3 11.559823320737255 0.0023800000781193376 0.0002505993
WISE:W4 22.09066818952177 0.009095000103116035 0.00176
